household_key,churn,churn_probability,risk_level,recency,tenure_days,purchase_frequency,discount_rate,median_basket_sales,median_basket_quantity,median_unique_products
2201,1,0.99999947307308,High Risk,609,25,0.08,0.28825881497637224,13.754999999999999,6.0,6.0
359,1,0.9999992680021241,High Risk,627,21,0.09523809523809523,0.1717095747758172,86.425,48.0,35.0
2265,1,0.9999991745338307,High Risk,609,18,0.16666666666666666,0.07037706611570248,15.01,19.0,1.0
313,1,0.9999990114114553,High Risk,595,36,0.1111111111111111,0.18727036956991572,25.064999999999998,10.0,9.5
2067,0,0.9999955624605874,High Risk,536,49,0.10204081632653061,0.13759779107225034,19.17,17.0,13.0
1504,1,0.9999935033033363,High Risk,484,120,0.025,0.47761194029850745,11.56,2.0,2.0
1184,0,0.9999934077260153,High Risk,512,160,0.075,0.21942867441650898,49.834999999999994,23.0,15.5
102,1,0.9999925721315841,High Risk,502,132,0.06060606060606061,0.18258758693084898,33.03,17.5,13.0
1551,0,0.9999892505376333,High Risk,496,177,0.096045197740113,0.15269871662181742,42.92,16.0,13.0
2365,1,0.999978285329573,High Risk,456,117,0.05982905982905983,0.11815718157181573,43.16,16.0,14.0
1052,1,0.9999767450515769,High Risk,450,153,0.0457516339869281,0.13834930501597167,28.55,13.0,12.0
1199,1,0.999940175154777,High Risk,400,178,0.03932584269662921,0.13602738888549246,24.979999999999997,5.0,5.0
739,1,0.9999305150933301,High Risk,392,199,0.03015075376884422,0.23997251030863428,16.375,5.0,4.5
298,1,0.9999223058960598,High Risk,389,233,0.030042918454935622,0.23236680601263007,16.18,5.0,5.0
1275,1,0.999918363759638,High Risk,390,223,0.03587443946188341,0.13558090532587372,14.420000000000002,8.5,5.5
2249,1,0.9999099134506381,High Risk,376,225,0.013333333333333334,0.18461792738692082,27.58,8.0,5.0
1212,0,0.9999004161992952,High Risk,387,211,0.023696682464454975,0.23607928505957837,25.34,17.0,14.0
1830,1,0.9997829472342068,High Risk,612,1,1.0,0.258367139959432,39.440000000000005,10.0,7.0
